cvegeo_inegi,cve_ent,estado,municipio,lat_centroid,lon_centroid,n_fires
20539,20,oaxaca,soledad etla,17.160587962962968,-97.00657731481483,6
20542,20,oaxaca,taniche,16.5574166666667,-96.7608611111111,1
20543,20,oaxaca,tataltepec de valda©s,16.307606816161616,-97.49628206767679,11
20545,20,oaxaca,teotitla¡n de flores maga³n,18.170972222222222,-97.01986111111111,1
20546,20,oaxaca,teotitla¡n del valle,17.057778968253967,-96.55460516349206,7
20548,20,oaxaca,tepelmeme villa de morelos,17.9982920957265,-97.29117328290599,13
20549,20,oaxaca,heroica villa tezoatla¡n de segura y luna,17.559119094444437,-97.87243610833335,8
20550,20,oaxaca,san jera³nimo tlacochahuaya,17.008123611111113,-96.55485763888889,8
20551,20,oaxaca,tlacolula de matamoros,16.955600793650785,-96.44397142857144,7
20553,20,oaxaca,tlalixtac de cabrera,17.086037222222227,-96.62597074074075,15
20554,20,oaxaca,totontepec villa de morelos,17.223285425,-96.0509180638889,4
20559,20,oaxaca,san juan bautista valle nacional,17.768542926262622,-96.32279393939393,11
20560,20,oaxaca,villa da­az ordaz,17.056688893650783,-96.37749285079364,7
20563,20,oaxaca,yogana,16.430209722222223,-96.80766249999999,4
20564,20,oaxaca,yutanduchi de guerrero,17.0707777777778,-97.2625833333333,1
20565,20,oaxaca,villa de zaachila,16.932740740740766,-96.72767592592594,3
20566,20,oaxaca,san mateo yucutindoo,16.756182224444423,-97.39480166444443,5
20567,20,oaxaca,zapotitla¡n lagunas,17.773314345370363,-98.40147477222223,12
20568,20,oaxaca,zapotitla¡n palmas,17.87271297037036,-97.82986897777778,6
20570,20,oaxaca,zimatla¡n de alvarez,16.81783860555555,-96.96372333500001,20
21001,21,puebla,acajete,19.14741079460318,-97.93915627079366,35
21003,21,puebla,acatla¡n,18.1701388888889,-98.0589166666667,1
21004,21,puebla,acatzingo,19.07058703703706,-97.7560787037037,3
21006,21,puebla,ahuacatla¡n,20.047999297222223,-97.85987152777778,4
21008,21,puebla,ahuazotepec,20.046273197897893,-98.14387364894895,37
21010,21,puebla,ajalpan,18.434467358333332,-97.02447674305557,8
21011,21,puebla,albino zertuche,18.0042944444444,-98.4827527777778,1
21012,21,puebla,aljojuca,19.120753364327477,-97.54398508947368,19
21014,21,puebla,amixtla¡n,20.039251829629634,-97.81583517407405,3
21015,21,puebla,amozoc,19.041839727882603,-98.07514543878408,53
21016,21,puebla,aquixtla,19.77604957094017,-97.93643568461539,13
21017,21,puebla,atempan,19.790807777777765,-97.43421722,15
21018,21,puebla,atexcal,18.420466666666666,-97.64521481481479,3
21019,21,puebla,atlixco,18.94521559863248,-98.52079585487179,65
21023,21,puebla,atzitzintla,18.934670834920638,-97.31656368809523,28
21026,21,puebla,calpan,19.117764021693116,-98.5244617730159,21
21027,21,puebla,caltepec,18.1851388888889,-97.5683888888889,1
21032,21,puebla,cohetzala,18.173749242424265,-98.84744444040406,11
21035,21,puebla,coxcatla¡n,18.28586181666666,-97.11823819444444,4
21036,21,puebla,coyomeapan,18.258596909876537,-96.96000402098767,9
21037,21,puebla,coyotepec,18.402124999999998,-97.77577916666668,4
21039,21,puebla,cuautempan,19.90124473111111,-97.79539166444445,10
21040,21,puebla,cuautincha¡n,18.981767810457512,-98.05674035947713,17
21043,21,puebla,cuetzalan del progreso,20.004579850000002,-97.5121166777778,4
21044,21,puebla,cuyoaco,19.621700960256405,-97.55909385598291,52
21045,21,puebla,chalchicomula de sesma,19.009678436363636,-97.36025722323232,55
21046,21,puebla,chapulco,18.6082338822222,-97.44323222666668,5
21047,21,puebla,chiautla,18.41379166666665,-98.55968055555556,2
21048,21,puebla,chiautzingo,19.178159420289862,-98.5474945652174,23
21049,21,puebla,chiconcuautla,20.101011666666647,-97.98480944444444,5
21050,21,puebla,chichiquila,19.21635648148148,-97.05093888888888,3
21051,21,puebla,chietla,18.489849074074055,-98.62413333333335,3
21053,21,puebla,chignahuapan,19.82642728972222,-98.08482076194444,40
21054,21,puebla,chignautla,19.73893345837479,-97.43456768150912,134
21055,21,puebla,chila,17.957152075000025,-97.87318263611112,4
21057,21,puebla,honey,20.275454852777777,-98.2096513888889,4
21058,21,puebla,chilchotla,19.276383486728395,-97.22040000231482,72
21061,21,puebla,eloxochitla¡n,18.5055111,-96.9870889,1
21063,21,puebla,esperanza,18.845791672222198,-97.3775555777778,2
21064,21,puebla,francisco z. mena,20.6888666666667,-97.7603833333333,1
21065,21,puebla,general felipe angeles,19.06310401481481,-97.654730554321,9
21067,21,puebla,guadalupe victoria,19.296885732323236,-97.34600378787879,22
21069,21,puebla,huaquechula,18.783220833333317,-98.54313749999999,6
21071,21,puebla,huauchinango,20.159264862592593,-98.0534615275926,60
21073,21,puebla,huehuetla¡n el chico,18.3505,-98.77788888888888,1
21074,21,puebla,huejotzingo,19.15653090277779,-98.564690625,8
21075,21,puebla,hueyapan,19.879008337037032,-97.41574305370371,6
21078,21,puebla,huitzilan de serda¡n,19.9252960648148,-97.72780463240741,12
21081,21,puebla,ixcamilpa de guerrero,18.0679833333333,-98.8314638888889,1
21082,21,puebla,ixcaquixtla,18.48755555,-97.81261111388889,4
21083,21,puebla,ixtacamaxtitla¡n,19.58978620200364,-97.81647827923499,61
21085,21,puebla,izaºcar de matamoros,18.597730548148146,-98.44772127407407,3
21087,21,puebla,jolalpan,18.229624447407403,-98.89860481851854,15
21088,21,puebla,jonotla,20.0323611111111,-97.5846722222222,1
21091,21,puebla,juan galindo,20.224582647222224,-98.0007506888889,4
21092,21,puebla,juan n. ma©ndez,18.4923548611111,-97.72268402499999,4
21093,21,puebla,lafragua,19.300316222137408,-97.27434749669212,131
21094,21,puebla,libres,19.491928615325673,-97.71833376417625,116
21096,21,puebla,mazapiltepec de jua¡rez,19.094329861111117,-97.67210069444444,8
21098,21,puebla,molcaxac,18.62895,-97.8630222222222,1
21099,21,puebla,caa±ada morelos,18.71601027777778,-97.44916750000002,10
21100,21,puebla,naupan,20.20972056222224,-98.12537389333336,5
21102,21,puebla,nealtican,19.066529012345665,-98.45979290123456,9
21103,21,puebla,nicola¡s bravo,18.623773897777777,-97.33868444444443,10
21104,21,puebla,nopalucan,19.147174603174598,-97.90165198412703,7
21105,21,puebla,ocotepec,19.533007911111106,-97.70862638461539,26
21106,21,puebla,ocoyucan,18.932860072222216,-98.32002986111112,8
21108,21,puebla,oriental,19.381087856072348,-97.64418475374679,43
21109,21,puebla,pahuatla¡n,20.27355555092593,-98.15355879166667,12
21110,21,puebla,palmar de bravo,18.81770138888888,-97.51554861111113,10
21114,21,puebla,puebla,19.12748315475556,-98.07321051084445,125
21115,21,puebla,quecholac,18.974159722222225,-97.58799305555553,4
21116,21,puebla,quimixtla¡n,19.2631496925926,-97.11930601851853,18
21120,21,puebla,san antonio caa±ada,18.5442777777778,-97.2663333333333,1
21121,21,puebla,san diego la mesa tochimiltzingo,18.80954166666665,-98.32444444444445,2
21122,21,puebla,san felipe teotlalcingo,19.22077388888889,-98.55788518518519,15
21123,21,puebla,san felipe tepatla¡n,20.089205555555555,-97.77226666666667,1
21128,21,puebla,san josa© chiapa,19.263861111111098,-97.70481666666669,2
21129,21,puebla,san josa© miahuatla¡n,18.232330555555553,-97.37239722222222,1
21130,21,puebla,san juan atenco,19.075675,-97.57587592592593,3
21132,21,puebla,san marta­n texmelucan,19.2381027777778,-98.4718333333333,1
21135,21,puebla,san miguel ixitla¡n,18.0075277777778,-97.7008611111111,1
21137,21,puebla,san nicola¡s buenos aires,19.264086762091512,-97.47355212549022,17
21138,21,puebla,san nicola¡s de los ranchos,19.06624346883738,-98.54632818245034,302
21139,21,puebla,san pablo anicano,18.1132222222222,-98.1866388888889,1
21140,21,puebla,san pedro cholula,19.074210399483203,-98.3466584627907,43
21142,21,puebla,san salvador el seco,19.123650768390807,-97.60015335172415,58
21143,21,puebla,san salvador el verde,19.229428681388892,-98.60926722333333,40
21145,21,puebla,san sebastia¡n tlacotepec,18.37286501333334,-96.82981888222223,5
21147,21,puebla,santa ina©s ahuatempan,18.45669376944445,-98.0163576138889,4
21149,21,puebla,santiago miahuatla¡n,18.577203177777783,-97.43075713809523,7
21150,21,puebla,huehuetla¡n el grande,18.821015286111106,-98.18705416666666,4
21151,21,puebla,santo toma¡s hueyotlipan,18.87815833333335,-97.874075,2
21152,21,puebla,soltepec,19.103439195679016,-97.72798317901236,18
21153,21,puebla,tecali de herrera,18.917897222222223,-97.99583333333334,1
21154,21,puebla,tecamachalco,18.875819444444428,-97.7047765873016,7
21156,21,puebla,tehuaca¡n,18.503525878362577,-97.40494531929824,19
21159,21,puebla,teopantla¡n,18.80089008412698,-98.25034841746033,7
21161,21,puebla,tepanco de la³pez,18.604229513888875,-97.52156423611112,8
21162,21,puebla,tepango de rodra­guez,20.013497207407408,-97.76842594074076,3
21163,21,puebla,tepatlaxco de hidalgo,19.1680603292328,-98.00543538381835,252
21164,21,puebla,tepeaca,19.07107376543209,-97.886512654321,9
21167,21,puebla,tepetzintla,19.953404618518515,-97.85047870740742,3
21168,21,puebla,tepexco,18.628277777777782,-98.61125,2
21169,21,puebla,tepexi de rodra­guez,18.414675,-97.89595833333334,2
21170,21,puebla,tepeyahualco,19.543715510185187,-97.47849776219137,72
21171,21,puebla,tepeyahualco de cuauhta©moc,18.806505555555557,-97.86967777777777,1
21172,21,puebla,tetela de ocampo,19.809391446,-97.80559294555556,50
21174,21,puebla,teziutla¡n,19.863689934027775,-97.35618037916666,16
21175,21,puebla,tianguismanalco,19.012524333463286,-98.48506288141651,171
21176,21,puebla,tilapa,18.627025,-98.57733333333333,1
21177,21,puebla,tlacotepec de benito jua¡rez,18.670568333333318,-97.65277833333332,5
21179,21,puebla,tlachichuca,19.095417288834156,-97.31832198984675,406
21180,21,puebla,tlahuapan,19.328382664988663,-98.6187634810431,245
21183,21,puebla,tlaola,20.155153351111117,-97.93529334222222,5
21186,21,puebla,tlatlauquitepec,19.784489316025642,-97.51125881602563,52
21188,21,puebla,tochimilco,18.93306086444445,-98.59922395037037,45
21189,21,puebla,tochtepec,18.832916666666698,-97.8487361111111,2
21191,21,puebla,tulcingo,17.955947222222214,-98.37748809523809,7
21193,21,puebla,tzicatlacoyan,18.85068453015873,-98.07115714920636,7
21195,21,puebla,vicente guerrero,18.543989195061727,-97.19511882345681,9
21197,21,puebla,xicotepec,20.2652222222222,-97.9787777777778,1
21199,21,puebla,xiutetelco,19.740715017890775,-97.36123620734465,59
21200,21,puebla,xochiapulco,19.862954445185185,-97.64463537111111,15
21202,21,puebla,xochitla¡n de vicente sua¡rez,19.918086409876544,-97.67932160864198,9
21203,21,puebla,xochitla¡n todos santos,18.72293541666666,-97.76663958333333,4
21204,21,puebla,yaona¡huac,19.9069763888889,-97.45855277777777,2
21205,21,puebla,yehualtepec,18.7564388888889,-97.6193972222222,1
21207,21,puebla,zacapoaxtla,19.837616207870376,-97.59449224907407,24
21208,21,puebla,zacatla¡n,19.97221239733333,-98.01973058546032,175
21210,21,puebla,zapotitla¡n de ma©ndez,20.0126666666667,-97.7329416666667,1
21211,21,puebla,zaragoza,19.739887501851836,-97.56723888333333,6
21212,21,puebla,zautla,19.72618435821256,-97.66917771642511,46
21214,21,puebla,zinacatepec,18.328552794444445,-97.19620138888888,2
21215,21,puebla,zongozotla,19.986347835802476,-97.78022099135802,9
21216,21,puebla,zoquiapan,20.0044722222222,-97.6083333333333,1
21217,21,puebla,zoquitla¡n,18.3607287074074,-96.98892221851854,3
22001,22,quera©taro,amealco de bonfil,20.14225028774155,-100.06179727022946,184
22002,22,quera©taro,pinal de amoles,21.152480809427605,-99.57410723905724,33
22003,22,quera©taro,arroyo seco,21.383514957264953,-99.60389145299145,13
22004,22,quera©taro,cadereyta de montes,20.84033010933333,-99.60307089022223,25
22005,22,quera©taro,cola³n,20.773009920634916,-100.10725952380963,7
22006,22,quera©taro,corregidora,20.533710470085484,-100.4029732905983,26
22007,22,quera©taro,ezequiel montes,20.573794444444445,-99.76611111111112,1
22008,22,quera©taro,huimilpan,20.424587455197123,-100.32119838709687,31
22009,22,quera©taro,jalpan de serra,21.4260804195122,-99.27521314281843,41
22010,22,quera©taro,landa de matamoros,21.26491239069069,-99.14150780900901,37
22011,22,quera©taro,el marqua©s,20.659457021913582,-100.21514705864202,36
22012,22,quera©taro,pedro escobedo,20.4229923611111,-100.220445138889,4
22013,22,quera©taro,pinal de amoles,21.171835802469133,-99.5952274691358,9
22014,22,quera©taro,quera©taro,20.705924526713954,-100.41836278250594,47
